date,close,volume,ticker
2024-09-03,167.5574,82387,FBT
2024-09-04,167.1919,14847,FBT
2024-09-05,166.17,11305,FBT
2024-09-06,164.6245,10068,FBT
2024-09-09,166.1529,9444,FBT
2024-09-10,166.51,40928,FBT
2024-09-11,168.3379,23160,FBT
2024-09-12,168.4057,20314,FBT
2024-09-13,170.92,11636,FBT
2024-09-16,171.9831,79609,FBT
2024-09-17,171.406,9176,FBT
2024-09-18,171.5613,9485,FBT
2024-09-19,172.9077,8688,FBT
2024-09-20,171.8208,6458,FBT
2024-09-23,169.61,6949,FBT
2024-09-24,169.733,14420,FBT
2024-09-25,167.8322,17499,FBT
2024-09-26,170.77,9540,FBT
2024-09-27,170.9874,216474,FBT
2024-09-30,171.93,37693,FBT
2024-10-01,171.94,107620,FBT
2024-10-02,172.42,19913,FBT
2024-10-03,169.97,17206,FBT
2024-10-04,171.51,39774,FBT
2024-10-07,169.19,17813,FBT
2024-10-08,169.93,20543,FBT
2024-10-09,169.59,37765,FBT
2024-10-10,169.89,16711,FBT
2024-10-11,172.21,19660,FBT
2024-10-14,172.39,30481,FBT
2024-10-15,172.88,21764,FBT
2024-10-16,173.0587,17964,FBT
2024-10-17,171.91,29897,FBT
2024-10-18,172.9944,20449,FBT
2024-10-21,171.38,23461,FBT
2024-10-22,171.0,48784,FBT
2024-10-23,168.76,22979,FBT
2024-10-24,168.1879,8076,FBT
2024-10-25,167.73,13014,FBT
2024-10-28,169.2,15516,FBT
2024-10-29,170.01,159757,FBT
2024-10-30,171.41,18248,FBT
2024-10-31,170.18,23524,FBT
2024-11-01,173.44,9937,FBT
2024-11-04,173.83,23811,FBT
2024-11-05,176.65,48362,FBT
2024-11-06,176.67,22119,FBT
2024-11-07,178.098,21135,FBT
2024-11-08,178.69,17412,FBT
2024-11-11,177.84,61934,FBT
2024-11-12,174.7892,17516,FBT
2024-11-13,175.6,41371,FBT
2024-11-14,170.035,19873,FBT
2024-11-15,161.65,96003,FBT
2024-11-18,161.85,32062,FBT
2024-11-19,162.43,26677,FBT
2024-11-20,164.94,24976,FBT
2024-11-21,166.46,41207,FBT
2024-11-22,168.85,16877,FBT
2024-11-25,171.22,19973,FBT
2024-11-26,172.67,19208,FBT
2024-11-27,174.48,16037,FBT
2024-11-29,174.11,12783,FBT
2024-12-02,174.17,20559,FBT
2024-12-03,172.3,22865,FBT
2024-12-04,175.05,16792,FBT
2024-12-05,173.75,14042,FBT
2024-12-06,175.42,35889,FBT
2024-12-09,176.17,44507,FBT
2024-12-10,174.01,20003,FBT
2024-12-11,174.6,38198,FBT
2024-12-12,172.2993,10100,FBT
2024-12-13,169.6172,20093,FBT
2024-12-16,170.59,17358,FBT
2024-12-17,171.4822,19964,FBT
2024-12-18,164.82,11786,FBT
2024-12-19,164.02,22715,FBT
2024-12-20,165.53,21941,FBT
2024-12-23,166.4761,44902,FBT
2024-12-24,167.2227,6255,FBT
2024-12-26,167.98,13082,FBT
