date,close,volume,ticker
2024-09-03,145.66,1207396,IBB
2024-09-04,145.5,1194891,IBB
2024-09-05,144.79,1079359,IBB
2024-09-06,142.75,1310269,IBB
2024-09-09,144.53,921922,IBB
2024-09-10,144.92,860701,IBB
2024-09-11,145.62,907788,IBB
2024-09-12,145.56,1302465,IBB
2024-09-13,147.81,1365857,IBB
2024-09-16,148.09,1038288,IBB
2024-09-17,147.83,1152778,IBB
2024-09-18,147.52,1153448,IBB
2024-09-19,149.47,1535900,IBB
2024-09-20,147.98,1875600,IBB
2024-09-23,145.58,1223235,IBB
2024-09-24,145.08,1351409,IBB
2024-09-25,142.68,1004391,IBB
2024-09-26,144.24,727140,IBB
2024-09-27,144.9,1195556,IBB
2024-09-30,145.6,1168196,IBB
2024-10-01,144.77,1401024,IBB
2024-10-02,144.8,792891,IBB
2024-10-03,142.61,806250,IBB
2024-10-04,143.9,650133,IBB
2024-10-07,142.18,968510,IBB
2024-10-08,143.0,618950,IBB
2024-10-09,143.14,939552,IBB
2024-10-10,143.15,844493,IBB
2024-10-11,145.59,2178921,IBB
2024-10-14,145.71,1221551,IBB
2024-10-15,145.82,706162,IBB
2024-10-16,146.4,714822,IBB
2024-10-17,145.69,556700,IBB
2024-10-18,145.91,815270,IBB
2024-10-21,143.99,1379824,IBB
2024-10-22,144.0,1233369,IBB
2024-10-23,142.16,1290974,IBB
2024-10-24,141.59,730433,IBB
2024-10-25,141.51,745368,IBB
2024-10-28,142.74,720783,IBB
2024-10-29,142.42,687560,IBB
2024-10-30,142.41,1020895,IBB
2024-10-31,140.29,1645166,IBB
2024-11-01,142.78,1390664,IBB
2024-11-04,142.85,1090298,IBB
2024-11-05,145.06,938577,IBB
2024-11-06,146.6,1570183,IBB
2024-11-07,148.02,1344942,IBB
2024-11-08,148.85,1271793,IBB
2024-11-11,147.72,1016252,IBB
2024-11-12,144.36,1335588,IBB
2024-11-13,143.8,961401,IBB
2024-11-14,140.09,2134009,IBB
2024-11-15,133.38,3546372,IBB
2024-11-18,133.04,1533995,IBB
2024-11-19,133.39,1312369,IBB
2024-11-20,134.84,1272331,IBB
2024-11-21,136.1,1324386,IBB
2024-11-22,137.96,1259965,IBB
2024-11-25,139.91,3320201,IBB
2024-11-26,140.23,1800970,IBB
2024-11-27,141.59,1151087,IBB
2024-11-29,141.55,1585134,IBB
2024-12-02,141.73,991148,IBB
2024-12-03,140.0,1136586,IBB
2024-12-04,140.96,1304523,IBB
2024-12-05,139.95,751090,IBB
2024-12-06,141.3,1627413,IBB
2024-12-09,141.74,1255813,IBB
2024-12-10,140.56,1281635,IBB
2024-12-11,140.1,1033891,IBB
