feature,coef,importance,sign
close_mean,-0.5613587803645874,0.5613587803645874,-1.0
vol_4w,-0.18828591036148978,0.18828591036148978,-1.0
pub_growth,0.14355310492119291,0.14355310492119291,1.0
ret_1d,-0.076630028870409,0.076630028870409,-1.0
pub_4w,-0.06360618168596954,0.06360618168596954,-1.0
vol_growth,-0.05781288835213028,0.05781288835213028,-1.0
