feature,coef,importance,sign
close_mean,-0.7015025838053058,0.7015025838053058,-1.0
pub_growth,-0.4644471533933741,0.4644471533933741,-1.0
vol_4w,-0.299040228603184,0.299040228603184,-1.0
vol_growth,0.20105986063035636,0.20105986063035636,1.0
ret_1d,-0.05626081345163255,0.05626081345163255,-1.0
pub_4w,-0.0019871110700897215,0.0019871110700897215,-1.0
