lag,p_g_to_r,p_r_to_g
1,0.5087663104422231,0.418561882920644
2,0.7409237833757363,0.4864577119317136
3,0.7707108699360481,0.656222018071855
4,0.8950366194548656,0.6169375048352808
5,0.4263691050328806,0.43519215795467914
6,0.3656834916940865,0.5010650602455028
7,0.5361728284378092,0.5205840227441636
8,0.6574013797666485,0.6476115775794126
9,0.7680240881414147,0.7521986218779362
10,0.5332969172644318,0.5159302218093231
