lag,p_g_to_r,p_r_to_g
1,0.5788494476730746,0.8003978803519025
2,0.2714209634066776,0.8392164410849186
3,0.1188604513295572,0.9408258938025227
4,0.1947556199740947,0.8914101457863631
5,0.25810630858090383,0.8402987394953854
6,0.14997151406231435,0.885647515331234
7,0.2297447535598012,0.8603601742895925
8,0.3321811930261157,0.6044695597651659
9,0.4312040329615161,0.6002277726773312
10,0.5118783052742804,0.1594540478787902
