lag,p_g_to_r,p_r_to_g
1,0.47749696343519454,0.8716660973935436
2,0.7650238888425951,0.7698959837936143
3,0.7964692636621284,0.9070371014543737
4,0.8231637322124903,0.9513636135783275
5,0.8804657942855544,0.9531215545829422
6,0.9708777170254984,0.9617214722393047
7,0.865084883194213,0.9663884272729056
8,0.9068534447852042,0.9095377477340577
9,0.9621438381075161,0.9272410549846941
10,0.9302192360670083,0.9526388418893612
